n_params,acc,auc
13481,0.8467948717948717,0.8217094017094017
12680,0.8229166666666666,0.7714957264957265
11880,0.7278846153846152,0.7664102564102564
10283,0.7637820512820512,0.7234188034188034
8690,0.8509615384615383,0.8207692307692307
7101,0.7559294871794872,0.6769658119658121
6308,0.8285256410256411,0.7888034188034188
5516,0.8209935897435896,0.8274786324786323
4725,0.8334935897435898,0.7965384615384614
3935,0.4916666666666667,0.5910256410256409
2359,0.8309294871794872,0.7844871794871795
1571,0.444551282051282,0.554017094017094
